Date,AAPL,MSFT
2022-04-04 00:00:00-04:00,177.63638305664062,312.6912841796875
2022-04-05 00:00:00-04:00,174.2716064453125,308.6308898925781
2022-04-06 00:00:00-04:00,171.05616760253906,297.333251953125
2022-04-07 00:00:00-04:00,171.36474609375,299.189697265625
2022-04-08 00:00:00-04:00,169.32398986816406,294.8215026855469
2022-04-11 00:00:00-04:00,165.0035400390625,283.19622802734375
2022-04-12 00:00:00-04:00,166.90493774414062,280.0193786621094
2022-04-13 00:00:00-04:00,169.63258361816406,285.5391540527344
2022-04-14 00:00:00-04:00,164.54559326171875,277.8055114746094
2022-04-18 00:00:00-04:00,164.32659912109375,278.49053955078125
2022-04-19 00:00:00-04:00,166.64608764648438,283.2359313964844
2022-04-20 00:00:00-04:00,166.4768524169922,284.28826904296875
2022-04-21 00:00:00-04:00,165.67050170898438,278.7784423828125
2022-04-22 00:00:00-04:00,161.0613555908203,272.0474853515625
2022-04-25 00:00:00-04:00,162.14645385742188,278.6890563964844
2022-04-26 00:00:00-04:00,156.09384155273438,268.2650451660156
2022-04-27 00:00:00-04:00,155.86488342285156,281.1710205078125
2022-04-28 00:00:00-04:00,162.9030303955078,287.5346374511719
2022-04-29 00:00:00-04:00,156.94000244140625,275.51220703125
2022-05-02 00:00:00-04:00,157.2486114501953,282.4119567871094
2022-05-03 00:00:00-04:00,158.7617645263672,279.7414245605469
2022-05-04 00:00:00-04:00,165.27232360839844,287.8821105957031
2022-05-05 00:00:00-04:00,156.06398010253906,275.3434753417969
2022-05-06 00:00:00-04:00,156.8017120361328,272.742431640625
2022-05-09 00:00:00-04:00,151.59759521484375,262.66583251953125
2022-05-10 00:00:00-04:00,154.04013061523438,267.5502624511719
2022-05-11 00:00:00-04:00,146.05450439453125,258.6650085449219
2022-05-12 00:00:00-04:00,142.12648010253906,253.50262451171875
2022-05-13 00:00:00-04:00,146.66265869140625,259.23089599609375
2022-05-16 00:00:00-04:00,145.09742736816406,259.608154296875
2022-05-17 00:00:00-04:00,148.7861785888672,264.8896789550781
2022-05-18 00:00:00-04:00,140.39178466796875,252.82933044433594
2022-05-19 00:00:00-04:00,136.9323272705078,251.89393615722656
2022-05-20 00:00:00-04:00,137.1715850830078,251.31680297851562
2022-05-23 00:00:00-04:00,142.6748046875,259.3669738769531
2022-05-24 00:00:00-04:00,139.93316650390625,258.342041015625
2022-05-25 00:00:00-04:00,140.0926971435547,261.2277526855469
2022-05-26 00:00:00-04:00,143.34275817871094,264.59112548828125
2022-05-27 00:00:00-04:00,149.18495178222656,271.8949890136719
2022-05-31 00:00:00-04:00,148.38739013671875,270.5317687988281
2022-06-01 00:00:00-04:00,148.25778198242188,271.07904052734375
2022-06-02 00:00:00-04:00,150.75018310546875,273.2283935546875
2022-06-03 00:00:00-04:00,144.9379119873047,268.69085693359375
2022-06-06 00:00:00-04:00,145.6956024169922,267.4270935058594
2022-06-07 00:00:00-04:00,148.25778198242188,271.1586608886719
2022-06-08 00:00:00-04:00,147.51007080078125,269.0789489746094
2022-06-09 00:00:00-04:00,142.20623779296875,263.4866027832031
2022-06-10 00:00:00-04:00,136.71299743652344,251.74468994140625
2022-06-13 00:00:00-04:00,131.4789581298828,241.06748962402344
2022-06-14 00:00:00-04:00,132.3562774658203,243.28652954101562
2022-06-15 00:00:00-04:00,135.01815795898438,250.52073669433594
2022-06-16 00:00:00-04:00,129.66448974609375,243.76416015625
2022-06-17 00:00:00-04:00,131.15992736816406,246.4309539794922
2022-06-21 00:00:00-04:00,135.4568328857422,252.49099731445312
2022-06-22 00:00:00-04:00,134.93841552734375,251.8839874267578
2022-06-23 00:00:00-04:00,137.8495330810547,257.58575439453125
2022-06-24 00:00:00-04:00,141.22921752929688,266.3822937011719
2022-06-27 00:00:00-04:00,141.22921752929688,263.58612060546875
2022-06-28 00:00:00-04:00,137.02206420898438,255.21751403808594
2022-06-29 00:00:00-04:00,138.80661010742188,258.9788818359375
2022-06-30 00:00:00-04:00,136.3042449951172,255.5657501220703
2022-07-01 00:00:00-04:00,138.50750732421875,258.30224609375
2022-07-05 00:00:00-04:00,141.1295166015625,261.55615234375
2022-07-06 00:00:00-04:00,142.4853973388672,264.89959716796875
2022-07-07 00:00:00-04:00,145.90496826171875,267.07879638671875
2022-07-08 00:00:00-04:00,146.5928497314453,266.34246826171875
2022-07-11 00:00:00-04:00,144.429443359375,263.2079772949219
2022-07-12 00:00:00-04:00,145.41644287109375,252.42132568359375
2022-07-13 00:00:00-04:00,145.04757690429688,251.47601318359375
2022-07-14 00:00:00-04:00,148.0185089111328,252.82933044433594
2022-07-15 00:00:00-04:00,149.71334838867188,255.45632934570312
2022-07-18 00:00:00-04:00,146.62277221679688,252.99847412109375
2022-07-19 00:00:00-04:00,150.5408172607422,258.25250244140625
2022-07-20 00:00:00-04:00,152.57461547851562,260.97900390625
2022-07-21 00:00:00-04:00,154.87759399414062,263.5363464355469
2022-07-22 00:00:00-04:00,153.6214141845703,259.078369140625
2022-07-25 00:00:00-04:00,152.48489379882812,257.5559387207031
2022-07-26 00:00:00-04:00,151.13900756835938,250.6600341796875
2022-07-27 00:00:00-04:00,156.31320190429688,267.4171447753906
2022-07-28 00:00:00-04:00,156.87152099609375,275.04937744140625
2022-07-29 00:00:00-04:00,162.01580810546875,279.35809326171875
2022-08-01 00:00:00-04:00,161.01885986328125,276.6415100097656
2022-08-02 00:00:00-04:00,159.52340698242188,273.4672546386719
2022-08-03 00:00:00-04:00,165.62481689453125,281.07958984375
2022-08-04 00:00:00-04:00,165.3057861328125,282.2537536621094
2022-08-05 00:00:00-04:00,165.076171875,281.51739501953125
2022-08-08 00:00:00-04:00,164.59695434570312,278.9401550292969
2022-08-09 00:00:00-04:00,164.64686584472656,280.910400390625
2022-08-10 00:00:00-04:00,168.95973205566406,287.73663330078125
2022-08-11 00:00:00-04:00,168.21096801757812,285.6071472167969
2022-08-12 00:00:00-04:00,171.8149871826172,290.4731140136719
2022-08-15 00:00:00-04:00,172.90318298339844,292.0254211425781
2022-08-16 00:00:00-04:00,172.74343872070312,291.2691650390625
2022-08-17 00:00:00-04:00,174.26092529296875,290.5013427734375
2022-08-18 00:00:00-04:00,173.86158752441406,289.35455322265625
2022-08-19 00:00:00-04:00,171.23594665527344,285.3458557128906
2022-08-22 00:00:00-04:00,167.29249572753906,276.9694519042969
