Date,mcd,MSFT
2022-04-01 00:00:00-04:00,246.5267791748047,307.18145751953125
2022-04-04 00:00:00-04:00,244.13323974609375,312.6912841796875
2022-04-05 00:00:00-04:00,245.79486083984375,308.6308898925781
2022-04-06 00:00:00-04:00,248.712646484375,297.333251953125
2022-04-07 00:00:00-04:00,251.58096313476562,299.189697265625
2022-04-08 00:00:00-04:00,248.712646484375,294.8215026855469
2022-04-11 00:00:00-04:00,247.7136688232422,283.19622802734375
2022-04-12 00:00:00-04:00,246.44766235351562,280.0193786621094
2022-04-13 00:00:00-04:00,248.5840606689453,285.5391540527344
2022-04-14 00:00:00-04:00,247.7730255126953,277.8055114746094
2022-04-18 00:00:00-04:00,248.31700134277344,278.49053955078125
2022-04-19 00:00:00-04:00,252.60958862304688,283.2359313964844
2022-04-20 00:00:00-04:00,253.0546875,284.28826904296875
2022-04-21 00:00:00-04:00,252.46124267578125,278.7784423828125
2022-04-22 00:00:00-04:00,247.43673706054688,272.0474853515625
2022-04-25 00:00:00-04:00,250.11712646484375,278.6890563964844
2022-04-26 00:00:00-04:00,245.86410522460938,268.2650451660156
2022-04-27 00:00:00-04:00,244.43983459472656,281.1710205078125
2022-04-28 00:00:00-04:00,251.41282653808594,287.5346374511719
2022-04-29 00:00:00-04:00,246.43777465820312,275.51220703125
2022-05-02 00:00:00-04:00,243.94529724121094,282.4119567871094
2022-05-03 00:00:00-04:00,243.1837158203125,279.7414245605469
2022-05-04 00:00:00-04:00,251.54139709472656,287.8821105957031
2022-05-05 00:00:00-04:00,246.2003936767578,275.3434753417969
2022-05-06 00:00:00-04:00,248.04006958007812,272.742431640625
2022-05-09 00:00:00-04:00,244.78602600097656,262.66583251953125
2022-05-10 00:00:00-04:00,242.99578857421875,267.5502624511719
2022-05-11 00:00:00-04:00,241.7594451904297,258.6650085449219
2022-05-12 00:00:00-04:00,241.52207946777344,253.50262451171875
2022-05-13 00:00:00-04:00,242.36277770996094,259.23089599609375
2022-05-16 00:00:00-04:00,241.3737030029297,259.608154296875
2022-05-17 00:00:00-04:00,238.99005126953125,264.8896789550781
2022-05-18 00:00:00-04:00,228.52565002441406,252.82933044433594
2022-05-19 00:00:00-04:00,226.49803161621094,251.89393615722656
2022-05-20 00:00:00-04:00,231.35438537597656,251.31680297851562
2022-05-23 00:00:00-04:00,235.3997039794922,259.3669738769531
2022-05-24 00:00:00-04:00,241.84848022460938,258.342041015625
2022-05-25 00:00:00-04:00,241.3440399169922,261.2277526855469
2022-05-26 00:00:00-04:00,245.37945556640625,264.59112548828125
2022-05-27 00:00:00-04:00,249.11814880371094,271.8949890136719
2022-05-31 00:00:00-04:00,249.45445251464844,270.5317687988281
2022-06-01 00:00:00-04:00,246.5564727783203,271.07904052734375
2022-06-02 00:00:00-04:00,247.64443969726562,273.2283935546875
2022-06-03 00:00:00-04:00,247.0079345703125,268.69085693359375
2022-06-06 00:00:00-04:00,246.71951293945312,267.4270935058594
